state,downstream_hazard_potential,incident_type,incident_date,incident_driver,incident_mechanism_1,incident_mechanism_2,incident_mechanism_3,eap_enacted_y_n_due_to_incident,fatalities_number,number_of_people_evacuated,number_of_habitable_structures_evacuated,number_of_habitable_structures_flooded,other_infrastructure_impacts,economic_damages_in,response,volume_released_at_failure_ac_ft,owner_type,dam_type,primary_purpose_s,eap,dam_height,max_storage_ac_ft,surface_area_acres,year_completed,latitude,longitude,year_modified,incident_time,incident_duration,incident_report_produced
NE,L,Failure,2/1/2019,Seepage/Internal Erosion,Piping,-1,-1,-1,0,0,0,0,-1,"$1 to $100,000",-1,49,P,RE,I,NR,21 ft,260.0,11,2018,40.1993,-97.098,-1,-1,-1,No
WI,L,Failure,5/10/2018,Seepage/Internal Erosion,Animal Activity,Piping,-1,No,0,0,0,0,-1,-1,-1,-1,L,PGRE,OR,N,8 ft,700.0,117,1937,42.9828,-88.5088,1938,-1,-1,Unknown
NY,S,Non-Failure,8/28/2011,Hydrologic/Flooding,Overtopping,-1,-1,Yes,-1,-1,-1,-1,-1,-1,-1,-1,P,EROT,R,Y,16 ft,16.0,2,1912,41.4047,-74.1514,-1,-1,-1,-1
SC,L,Failure,10/4/2015,Hydrologic/Flooding,Overtopping,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,P,RE,R,N,14 ft,85.0,12,1945,33.595,-81.2867,-1,-1,-1,-1
SC,L,Failure,10/4/2015,Hydrologic/Flooding,Overtopping,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,P,RE,R,N,17 ft,308.0,35,1955,33.6467,-81.2117,-1,-1,-1,-1
SC,L,Failure,10/4/2015,Hydrologic/Flooding,Overtopping,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,P,RE,R,N,36 ft,132.0,18,1963,33.5883,-81.345,-1,-1,-1,-1
SC,L,Failure,10/4/2015,Hydrologic/Flooding,Overtopping,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,P,RE,R,N,18 ft,106.0,25,1938,33.5833,-80.5967,-1,-1,-1,-1
SC,L,Failure,10/4/2015,Hydrologic/Flooding,Overtopping,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,P,RE,R,N,15 ft,109.0,21,1930,33.56,-80.7383,-1,-1,-1,-1
SC,L,Failure,10/4/2015,Hydrologic/Flooding,Overtopping,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,P,RE,R,N,15 ft,263.0,36,1900,33.8133,-80.09,-1,-1,-1,-1
SC,L,Failure,10/4/2015,Hydrologic/Flooding,Overtopping,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,P,RE,R,N,15 ft,91.0,26,1960,33.6533,-80.4433,-1,-1,-1,-1
SC,L,Failure,10/4/2015,Hydrologic/Flooding,Overtopping,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,P,RE,R,N,13 ft,320.0,34,1900,33.8483,-80.005,-1,-1,-1,-1
SC,L,Failure,10/4/2015,Hydrologic/Flooding,Overtopping,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,P,RE,R,N,16 ft,92.0,34,1875,33.6533,-80.495,-1,-1,-1,-1
SC,L,Failure,10/8/2016,Hydrologic/Flooding,Overtopping,-1,-1,No,0,0,0,0,-1,-1,-1,-1,P,RE,R,N,9 ft,144.0,24,1955,33.7333,-80.0917,-1,-1,1 Day,No
SC,S,Failure,10/4/2015,Hydrologic/Flooding,Overtopping,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,P,RE,R,N,20 ft,357.0,28,1957,34.42,-79.9417,-1,-1,-1,-1
SC,L,Failure,10/8/2016,Hydrologic/Flooding,Unknown,-1,-1,No,0,0,0,0,Roads,-1,-1,-1,P,RE,R,N,15 ft,209.0,22,1961,34.2533,-79.835,-1,-1,1 Day,No
SC,L,Failure,10/4/2015,Hydrologic/Flooding,Overtopping,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,P,RE,R,N,20 ft,112.0,7,1955,34.1117,-80.7517,-1,-1,-1,-1
SC,S,Failure,10/4/2015,Hydrologic/Flooding,Overtopping,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,P,RE,I,Y,15 ft,312.0,24,1930,0.0,0.0,1998,-1,-1,-1
SC,S,Failure,10/4/2015,Hydrologic/Flooding,Overtopping,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,L,RE,R,Y,14 ft,359.0,64,1900,33.9583,-81.26,-1,-1,-1,-1
SC,L,Failure,10/4/2015,Hydrologic/Flooding,Overtopping,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,P,RE,R,N,14 ft,72.0,10,1910,33.73,-81.0367,-1,-1,-1,-1
SC,H,Non-Failure,3/30/2011,Deterioration or Poor Condition,Animal Activity,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,P,RE,R,Y,23 ft,93.0,6,1950,34.0633,-81.19,1989,-1,-1,-1
SC,S,Failure,10/4/2015,Hydrologic/Flooding,Overtopping,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,P,RE,R,Y,13 ft,108.0,15,1920,33.525,-80.935,-1,-1,-1,-1
SC,L,Failure,10/4/2015,Hydrologic/Flooding,Overtopping,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,P,RE,R,N,10 ft,181.0,32,1960,33.5217,-80.515,-1,-1,-1,-1
SC,S,Failure,10/4/2015,Hydrologic/Flooding,Overtopping,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,P,RE,R,Y,13 ft,182.0,25,1960,33.5333,-81.2367,-1,-1,-1,-1
SC,L,Failure,10/4/2015,Hydrologic/Flooding,Overtopping,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,P,RE,R,N,14 ft,87.0,12,1960,33.6367,-81.16,-1,-1,-1,-1
SC,H,Failure,10/4/2015,Hydrologic/Flooding,Overtopping,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,P,RE,R,N,11 ft,260.0,32,1900,34.115,-80.9833,-1,-1,-1,-1
SC,H,Failure,10/4/2015,Hydrologic/Flooding,Overtopping,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,P,RE,R,Y,20 ft,960.0,68,1938,34.0483,-80.9583,1988,-1,-1,-1
SC,H,Failure,10/4/2015,Hydrologic/Flooding,Overtopping,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,P,RE,R,Y,20 ft,230.0,21,1900,34.0367,-80.955,-1,-1,-1,-1
SC,H,Failure,10/4/2015,Hydrologic/Flooding,Overtopping,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,P,RE,R,Y,20 ft,297.0,25,1955,34.04,-80.9517,-1,-1,-1,-1
CA,H,Non-Failure,2/4/2021,Seepage/Internal Erosion,Excessive/Increased Seepage,-1,-1,No,0,0,0,0,-1,-1,"Reservoir elevaiton lowered back to its restricted elevation, 2.7' below the drop inlet spillway.",-1,L,RE,ST,N,24 ft,210.0,30,1910,40.4786,-124.108,-1,-1,-1,Yes
MD,-1,Failure,1/1/2008,Unknown,Unknown,-1,-1,No,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1.0,0,-1,0.0,0.0,-1,-1,-1,-1
MI,H,Non-Failure,5/19/2020,Hydrologic/Flooding,High Reservoir Level,-1,-1,Yes,0,-1,-1,-1,-1,-1,See IFT Report,-1,P,PG,CH,Y,57 ft,15000.0,1100,1925,44.0411,-84.3419,-1,-1,-1,Yes
NJ,S,Failure,8/14/2011,Hydrologic/Flooding,Overtopping,-1,-1,No,-1,0,-1,-1,Roads,-1,-1,186,-1,PGRE,I,N,18 ft,-1.0,69,-1,39.4876,-75.2584,-1,-1,-1,-1
MS,L,Non-Failure,3/12/2015,Deterioration or Poor Condition,Spillway Pipe Failure,-1,-1,No,0,1,0,0,-1,-1,-1,-1,P,RE,R,NR,14 ft,75.0,0,1970,34.625,-89.875,-1,-1,-1,-1
MS,L,Non-Failure,7/1/2015,Structural Stability,Slope Stability,-1,-1,-1,0,-1,0,0,-1,-1,-1,0,P,RE,R,NR,14 ft,75.0,0,1970,34.625,-89.875,-1,-1,-1,-1
WI,-1,Non-Failure,11/1/2023,Hydrologic/Flooding,Erosion,-1,-1,No,-1,0,0,0,-1,"$1 to $100,000",-1,-1,-1,-1,-1,-1,0 ft,0.0,0,0,0.0,0.0,-1,-1,-1,-1
MO,H,Non-Failure,4/30/2011,Structural Stability,Sliding,-1,-1,No,-1,0,-1,0,-1,-1,-1,-1,P,RE,R,Y,45 ft,1300.0,61,1944,37.2544,-90.6352,-1,-1,-1,-1
VA,-1,Failure,1/1/2008,Unknown,Unknown,-1,-1,No,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1.0,0,-1,0.0,0.0,-1,-1,-1,-1
PA,L,Non-Failure,1/1/2014,Other,Animal Activity,Debris Clogging,-1,-1,0,0,0,0,Dams Downstream,-1,DAMS REMOVED AND NATURAL WATERWAYS RESTORED.,-1,S,RE,F,-1,-1,-1.0,0,-1,41.3808,-79.5348,-1,-1,-1,-1
NJ,S,Non-Failure,8/27/2011,Hydrologic/Flooding,Overtopping,-1,-1,No,-1,0,-1,-1,-1,-1,-1,0,L,PGRE,R,Y,16 ft,-1.0,83,1931,40.3528,-74.085,-1,-1,-1,-1
NH,S,Non-Failure,6/28/2023,Hydrologic/Flooding,Spillway Erosion/Head Cutting,-1,-1,No,0,0,0,0,-1,"$1 to $100,000",-1,-1,P,RE,R,N,20 ft,21.0,4,1969,43.7322,-71.3225,-1,-1,1 Day,No
NJ,L,Non-Failure,8/27/2011,Hydrologic/Flooding,Overtopping,-1,-1,No,-1,0,-1,-1,-1,-1,-1,0,-1,RE,R,-1,9 ft,-1.0,0,-1,0.0,0.0,-1,-1,-1,-1
CA,-1,Failure,6/1/1925,Seismic,Other,-1,-1,No,-1,-1,-1,-1,-1,-1,-1,-1,-1,HF,-1,-1,25 ft,92.0,0,1917,0.0,0.0,-1,-1,-1,Yes
NH,L,Non-Failure,8/28/2011,Hydrologic/Flooding,Overtopping,-1,-1,-1,-1,0,-1,0,Bridges,-1,-1,0,P,CNPG,HC,NR,17 ft,960.0,210,1906,44.4042,-71.1157,1990,-1,-1,-1
WI,L,Failure,10/25/2023,Hydrologic/Flooding,Overtopping,-1,-1,No,0,0,0,0,Roads,"$1 to $100,000",-1,-1,L,PGRE,R,Y,13 ft,600.0,117,1936,44.4262,-90.3693,-1,-1,-1,-1
MD,-1,Failure,1/1/2008,Unknown,Unknown,-1,-1,No,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1.0,0,-1,0.0,0.0,-1,-1,-1,-1
OH,H,Non-Failure,9/1/2014,Deterioration or Poor Condition,Spillway Pipe Failure,Sinkhole,-1,No,0,0,0,0,-1,-1,-1,-1,S,RE,R,Y,25 ft,855.0,59,1962,40.68,-82.04,-1,-1,-1,-1
MN,L,Failure,4/11/2022,Seepage/Internal Erosion,Erosion,Excessive/Increased Seepage,Piping,No,0,0,0,0,-1,Unknown,-1,-1,L,OT,C,NR,14 ft,132.0,0,1965,44.4619,-94.1772,2019,-1,-1,No
WA,-1,Failure,5/1/1971,Seepage/Internal Erosion,Piping,-1,-1,No,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1.0,0,-1,0.0,0.0,-1,-1,-1,-1
NH,S,Failure,7/1/2022,Deterioration or Poor Condition,Gate/Valve Failure,-1,-1,-1,0,0,0,0,-1,Unknown,-1,4,L,RE,R,NR,9 ft,29.0,3,1935,42.8227,-72.1869,-1,-1,1 day,-1
NH,S,Non-Failure,7/18/2021,Hydrologic/Flooding,High Reservoir Level,Overtopping,Insufficient Spillway Capacity,-1,0,-1,-1,1,-1,Unknown,-1,-1,L,RE,R,NR,9 ft,29.0,3,1935,42.8227,-72.1869,-1,-1,1 day,-1
KY,S,Non-Failure,5/8/2023,Seepage/Internal Erosion,Piping,-1,-1,No,-1,0,0,0,-1,-1,-1,-1,P,RE,R,NR,15 ft,100.0,10,1950,38.1065,-85.7334,-1,-1,-1,Yes
NC,S,Failure,10/8/2016,Hydrologic/Flooding,Overtopping,-1,-1,No,-1,-1,-1,-1,Other,"$500,000 to $1 million",-1,-1,P,REPGCN,R,N,13 ft,538.0,0,-1,35.802,-77.949,-1,-1,1 day,-1
MO,H,Non-Failure,5/1/2017,Seepage/Internal Erosion,Excessive/Increased Seepage,Erosion,-1,No,-1,0,0,0,-1,-1,Owners reduced lake level with siphons until repair was made.,-1,P,RE,T,Y,80 ft,4900.0,118,1981,38.1893,-90.7567,-1,-1,2 weeks,No
DE,H,Non-Failure,7/6/2017,Deterioration or Poor Condition,Gate/Valve Failure,Insufficient Spillway Capacity,-1,No,-1,-1,-1,-1,Roads,"$500,000 to $1 million",-1,-1,S,PGRE,R,Y,18 ft,591.0,39,1945,39.438,-75.6934,-1,-1,-1,Yes
DE,H,Non-Failure,7/27/2022,Seepage/Internal Erosion,Piping,Sinkhole,Excessive/Increased Seepage,Yes,-1,0,0,0,Bridges,$1 million to $5 million,-1,-1,S,PGRE,R,Y,18 ft,591.0,39,1945,39.438,-75.6934,-1,-1,-1,No
KY,S,Failure,4/7/2015,Structural Stability,Foundation Deficiency,-1,-1,No,0,0,0,0,-1,-1,-1,-1,P,RE,R,NR,15 ft,91.4,10,1950,38.105,-85.7333,-1,-1,-1,No
OH,H,Non-Failure,3/17/2017,Deterioration or Poor Condition,Spillway Chute Failure,Piping,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,L,RE,R,N,19 ft,82.5,4,-1,40.805,-81.5083,-1,-1,6 days,Yes
CO,H,Non-Failure,9/14/2013,Hydrologic/Flooding,Spillway Erosion/Head Cutting,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,P,RE,IR,Y,52 ft,2186.0,124,1892,40.0675,-105.218,-1,-1,-1,-1
CO,H,Non-Failure,5/27/2015,Seepage/Internal Erosion,Excessive/Increased Seepage,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,L,RE,RI,Y,40 ft,220.0,15,1900,39.6567,-104.944,1901,-1,-1,-1
NY,S,Non-Failure,8/28/2011,Hydrologic/Flooding,Overtopping,-1,-1,No,-1,-1,-1,-1,-1,-1,-1,-1,P,RE,R,N,24 ft,25.0,3,1952,41.3133,-74.1653,-1,-1,-1,-1
KY,S,Failure,2/25/2018,Deterioration or Poor Condition,Erosion,-1,-1,-1,0,0,0,0,-1,-1,-1,-1,P,RE,O,NR,18 ft,260.0,13,1890,37.4785,-87.4925,-1,-1,-1,Yes
NJ,L,Failure,5/23/2011,Hydrologic/Flooding,Overtopping,-1,-1,-1,-1,0,-1,-1,-1,-1,-1,9,-1,RE,R,-1,21 ft,-1.0,0,1930,0.0,0.0,-1,12:00 AM,-1,-1
MI,H,Non-Failure,5/19/2020,Hydrologic/Flooding,High Reservoir Level,-1,-1,Yes,0,-1,-1,-1,-1,-1,See IFT Report,-1,P,PGRE,CH,Y,36 ft,9000.0,500,1925,43.9586,-84.3361,-1,-1,-1,Yes
TX,S,Failure,8/31/2017,Hydrologic/Flooding,Unknown,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,P,RE,-1,N,16 ft,70.0,55,1950,31.0061,-93.708,-1,-1,-1,-1
NC,L,Failure,10/8/2016,Hydrologic/Flooding,Overtopping,-1,-1,No,0,-1,0,-1,-1,$1 million to $5 million,-1,-1,P,RE,R,NR,10 ft,77.0,0,-1,34.863,-78.73,-1,-1,1 day,-1
NC,L,Failure,10/8/2016,Hydrologic/Flooding,Overtopping,-1,-1,No,0,-1,0,-1,-1,$1 million to $5 million,-1,-1,P,RE,-1,NR,10 ft,73.0,0,-1,35.224,-78.815,-1,-1,1 day,-1
SC,L,Failure,10/4/2015,Hydrologic/Flooding,Overtopping,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,P,RE,R,N,26 ft,62.4,25,-1,34.0667,-79.3458,-1,-1,-1,-1
NH,H,Non-Failure,8/28/2011,Hydrologic/Flooding,High Reservoir Level,-1,-1,Yes,-1,0,-1,0,-1,-1,-1,0,L,CN,R,Y,17 ft,40.8,5,1976,43.95,-71.5047,-1,-1,-1,-1
MD,-1,Non-Failure,9/8/2011,Unknown,Spillway Chute Failure,-1,-1,Yes,-1,-1,-1,-1,-1,-1,-1,-1,-1,RE,-1,-1,13 ft,10.0,0,-1,39.3108,-76.7248,-1,-1,-1,-1
NE,L,Failure,5/1/2019,Deterioration or Poor Condition,Other,High Reservoir Level,-1,No,0,0,0,0,-1,"$1 to $100,000",-1,131,P,RE,P,NR,16 ft,132.0,18,1950,42.7245,-103.3,-1,-1,-1,No
UT,H,Non-Failure,12/21/2010,Hydrologic/Flooding,Slope Stability,-1,-1,Yes,-1,50,-1,0,-1,"$100,000 to $500,000",-1,0,P,RE,I,Y,91 ft,2250.0,0,1988,37.1472,-112.985,-1,12:00 AM,-1,-1
PA,H,Failure,01/01/1889,Hydrologic/Flooding,Overtopping,-1,-1,No,2209,-1,-1,-1,-1,$10 million to $25 million,-1,-1,-1,RE,R,-1,72 ft,-1.0,0,-1,0.0,0.0,-1,-1,-1,-1
MN,L,Failure,6/14/2014,Hydrologic/Flooding,Overtopping,-1,-1,No,0,0,0,1,Bridges,-1,DNR owed Dam.  Operators notified DNR Dam Safety quickly.,200 acre-feet,S,PG,R,NR,24 ft,235.0,19,1940,43.7145,-96.1779,1940,Between 9 pm and midnight,<12 hours,Yes
VT,S,Failure,7/10/2023,Hydrologic/Flooding,Unknown,-1,-1,No,0,0,0,0,Unknown,Unknown,-1,45,P,MSREST,R,NR,16 ft,45.0,6,1875,44.4153,-72.4222,-1,-1,-1,No
MS,L,Non-Failure,1/3/2020,Manmade Action,Erosion Of Spillway Chute,-1,-1,N,0,0,0,0,0,0,-1,-1,P,RE,R,NR,25 ft,720.0,0,1969,31.4606,-91.2627,-1,-1,-1,Y
NE,L,Non-Failure,6/12/2010,Hydrologic/Flooding,Overtopping,-1,-1,No,-1,0,-1,0,-1,-1,-1,0,-1,RE,H,-1,11 ft,-1.0,0,-1,0.0,0.0,-1,-1,-1,-1
CT,-1,Failure,3/6/1963,Unknown,Unknown,-1,-1,No,-1,-1,-1,-1,-1,$5 million to $10 million,-1,-1,-1,-1,-1,-1,-1,-1.0,0,-1,0.0,0.0,-1,-1,-1,-1
PA,H,Non-Failure,10/29/2012,Hydrologic/Flooding,Overtopping,-1,-1,Yes,-1,200,-1,0,-1,none,-1,0,S,RE,R,Y,35 ft,2372.0,106,1966,40.2039,-76.3075,-1,-1,-1,-1
NE,S,Failure,3/14/2019,Other,Overtopping,Other,-1,No,1,-1,-1,1,Bridges,Unknown,Dam operators attempted to evacuate the individual living just downstream but the home apparently washed away before that happened.,16487,U,RE,H,NR,45 ft,16487.0,864,1927,42.8088,-98.6566,-1,5:15 AM,-1,Yes
OH,L,Non-Failure,12/20/2019,Deterioration or Poor Condition,Spillway Riser Failure,-1,-1,Yes,0,-1,-1,-1,-1,-1,-1,-1,S,RE,R,Y,15 ft,258.0,30,1960,41.115,-82.0858,-1,-1,-1,No
VA,L,Non-Failure,8/1/2018,Manmade Action,Accident Or Misoperation,-1,-1,No,0,-1,-1,-1,-1,-1,-1,-1,P,RE,R,N,35 ft,270.0,5,-1,38.3785,-77.7805,-1,-1,-1,-1
VA,L,Non-Failure,11/12/2020,Structural Stability,Excessive/Increased Seepage,Erosion,Reservoir overfilling,-1,unknown,Unknown,Unknown,-1,-1,-1,-1,-1,P,RE,R,N,35 ft,270.0,5,-1,38.3785,-77.7805,-1,-1,-1,Yes
VA,U,Non-Failure,11/30/2020,Deterioration or Poor Condition,Excessive/Increased Seepage,Spillway pipe failure,-1,-1,unknown,Unknown,Unknown,-1,-1,-1,-1,-1,X,-1,-1,NR,30 ft,165.7,13,-1,38.2208,-77.6859,-1,-1,-1,Yes
VA,U,Failure,12/7/2019,Deterioration or Poor Condition,Spillway Pipe Failure,Excessive/Increased Seepage,Erosion,-1,unknown,Unknown,Unknown,-1,-1,-1,-1,-1,X,-1,-1,NR,30 ft,165.7,13,-1,38.2208,-77.6859,-1,-1,-1,Yes
MS,L,Failure,1/1/2012,Deterioration or Poor Condition,Spillway Pipe Failure,-1,-1,No,-1,0,-1,0,-1,-1,-1,-1,P,RE,R,NR,26 ft,480.0,93,1971,30.5933,-88.6933,-1,-1,-1,-1
TX,H,Non-Failure,4/1/1982,Unknown,Spillway Deficiency,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,P,RE,R,Y,23 ft,255.0,14,1952,30.4049,-95.3824,-1,-1,-1,-1
OH,L,Non-Failure,4/6/2019,Deterioration or Poor Condition,Spillway Pipe Failure,Sinkhole,Piping,No,0,-1,-1,-1,-1,-1,-1,-1,P,RE,R,N,29 ft,63.3,5,1969,39.6486,-83.8289,-1,-1,-1,No
TX,H,Non-Failure,5/2/2024,Hydrologic/Flooding,Spillway Erosion/Head Cutting,-1,-1,Unknown,-1,0,0,0,unknown,Unknown,"Owner alerted County EMC, contacted TCEQ, TCEQ inspection",-1,P,RE,R,Y,24 ft,575.0,0,1965,30.6724,-95.5594,2011,-1,-1,Yes
TX,S,Failure,6/10/2010,Hydrologic/Flooding,Overtopping,-1,-1,No,-1,0,-1,0,-1,-1,-1,-1,P,RE,IR,N,23 ft,230.0,15,1920,32.4298,-95.301,-1,-1,-1,-1
TX,H,Non-Failure,6/13/1973,Hydrologic/Flooding,Overtopping,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,P,RE,R,Y,23 ft,255.0,14,1952,30.4049,-95.3824,-1,-1,-1,-1
TX,H,Non-Failure,8/29/2017,Hydrologic/Flooding,Unknown,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,P,RE,R,Y,23 ft,255.0,14,1952,30.4049,-95.3824,-1,-1,-1,-1
SC,L,Failure,9/16/2018,Hydrologic/Flooding,Overtopping,Erosion,-1,No,0,0,0,0,-1,-1,State Dam Safety Program performed a full inspection following the breach of this dam.  The inspection report will contain a requirement that the Owner hire an engineer and submit either a permit application for repair or removal of the dam.,-1,P,RE,R,NR,16 ft,145.0,16,1958,34.4582,-79.8616,-1,-1,-1,-1
TX,H,Non-Failure,10/9/1992,Unknown,Spillway Deficiency,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,P,RE,R,Y,23 ft,255.0,14,1952,30.4049,-95.3824,-1,-1,-1,-1
PA,L,Non-Failure,7/1/2013,Hydrologic/Flooding,Overtopping,-1,-1,-1,0,0,-1,-1,-1,-1,"DEP STAFF INSPECTED SITE.  NO SIGNIFICANT DETERIORATION COMPARED TO PRIOR INSPECTIONS,",0,P,RE,R,-1,6 ft,-1.0,0,-1,41.1154,-79.5148,-1,2:00:00 PM,-1,-1
VA,H,Non-Failure,5/20/2020,Hydrologic/Flooding,Overtopping,-1,-1,-1,unknown,Unknown,Unknown,-1,-1,-1,-1,-1,P,RE,R,Y,26 ft,80.0,5,-1,37.2564,-80.02,-1,-1,-1,Yes
TN,L,Failure,5/2/2010,Hydrologic/Flooding,Spillway Erosion/Head Cutting,-1,-1,No,-1,0,-1,0,-1,-1,-1,517,P,RE,-1,-1,-1,-1.0,0,1969,0.0,0.0,2012,-1,-1,-1
SC,H,Non-Failure,3/1/2018,Deterioration or Poor Condition,Spillway Pipe Failure,Piping,Sinkhole,No,0,0,0,0,-1,-1,"The State issued an Emergency Order to require the dam owner immediately lower water level under direction of a licensed Professional Engineer, submit a detailed investigation by a licensed Professional Engineer, and submit a Plan of Action for the repair",-1,P,RE,R,Y,19 ft,233.0,32,1954,34.0748,-80.9526,-1,-1,-1,-1
NV,L,Failure,8/6/2022,Hydrologic/Flooding,Spillway Deficiency,Overtopping,-1,No,0,0,0,0,Other,"$1 to $100,000",Owners watched the dam fail and flood their fields. State employees made a site visit the following Monday to investigate dam and failure.,21.5,P,RE,I,NR,12 ft,21.5,5,-1,38.8497,-115.66,-1,-1,-1,No
MD,S,Non-Failure,4/18/2018,Deterioration or Poor Condition,Spillway Pipe Failure,-1,-1,No,-1,Unknown,Unknown,Unknown,Roads,-1,-1,-1,P,RE,R,Y,18 ft,64.0,8,1968,39.3417,-77.2245,1968,-1,1 year,No
MD,S,Non-Failure,9/23/2003,Hydrologic/Flooding,Overtopping,-1,-1,No,-1,-1,-1,-1,-1,-1,-1,-1,P,RE,R,Y,18 ft,64.0,8,1968,39.3417,-77.2245,1968,-1,-1,-1
CA,H,Failure,3/12/1928,Structural Stability,Foundation Deficiency,-1,-1,No,600,-1,-1,-1,-1,$5 million to $10 million,-1,38000,-1,-1,S,N,205 ft,38000.0,0,1926,0.0,0.0,-1,-1,-1,Yes
NE,U,Failure,1/1/2011,Unknown,Unknown,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,P,-1,C,NR,18 ft,64.0,2,1960,40.609,-96.9949,-1,-1,-1,No
NJ,L,Failure,8/27/2011,Hydrologic/Flooding,Piping,-1,-1,No,-1,0,-1,-1,-1,-1,-1,-1,-1,CN,R,-1,9 ft,-1.0,0,-1,0.0,0.0,-1,-1,-1,-1
OH,S,Non-Failure,4/1/2015,Hydrologic/Flooding,High Reservoir Level,-1,-1,No,0,0,0,0,-1,-1,-1,-1,P,RE,O,Y,18 ft,183.0,19,1928,40.4656,-81.1153,-1,-1,1day,Yes
CO,H,Non-Failure,5/22/2015,Unknown,High Reservoir Level,-1,-1,Yes,-1,-1,-1,-1,-1,-1,-1,-1,U,CNVA,SHR,Y,299 ft,10600.0,98,1982,39.4327,-105.126,-1,-1,-1,-1
SC,L,Failure,10/8/2016,Hydrologic/Flooding,Unknown,-1,-1,No,0,0,0,0,-1,-1,-1,-1,P,RE,R,N,7 ft,64.0,14,1875,34.1767,-79.13,-1,-1,1 Day,No
WI,L,Failure,2/6/2021,Malfunction of Equipment/Gate,Gate/Valve Failure,-1,-1,No,0,0,0,0,-1,"$1 to $100,000",-1,100,L,PGRE,CR,Y,19 ft,430.0,54,1937,44.5548,-91.3923,-1,-1,1 day,Yes
PA,L,Failure,9/8/2011,Hydrologic/Flooding,Overtopping,-1,-1,No,0,0,0,0,Roads,Unknown,DAM REMOVAL WAS APPROVED IN 2012 AND STREAM RESTORED TO FREE-FLOWING CONDITION.,100,P,RE,R,NR,11 ft,123.0,3,1948,41.4767,-76.3767,-1,-1,1 DAY,No
UT,L,Non-Failure,4/29/2019,Seepage/Internal Erosion,Excessive/Increased Seepage,Abutment Failure,-1,No,0,0,0,0,-1,Unknown,Community officals responsive during incident.  Provided pumps to lower reservoir.  Owner lowered spillway followng the event.,-1,P,RE,C,NR,23 ft,137.0,0,1913,39.9757,-111.813,-1,-1,2 days,Yes
NY,H,Non-Failure,8/28/2011,Hydrologic/Flooding,High Reservoir Level,-1,-1,Yes,-1,-1,-1,-1,-1,-1,-1,-1,L,OT,R,Y,28 ft,264.0,16,1914,42.2464,-73.6481,-1,-1,-1,-1
CA,-1,Non-Failure,4/4/2010,Seismic,Sinkhole,-1,-1,-1,-1,0,-1,0,-1,-1,-1,-1,-1,RE,R,-1,-1,-1.0,0,-1,33.0,-116.0,-1,-1,-1,-1
PA,L,Failure,4/27/2011,Unknown,Overtopping,-1,-1,-1,0,0,0,0,-1,-1,DAM WAS BREACHED TO PREVENT POTENTIAL LOSS OF DOWNSTREAM CULVERT.,-1,S,STMS,F,-1,11 ft,-1.0,0,-1,40.1611,-76.1457,-1,-1,1 DAY,No
